SERVER_ID,ROLE_ID,ROLE_NAME
762379682108276756,856705829347393557,bruh mijfksl
762379682108276756,856708008851013672,le epic
760375168815071264,804919102140579870,off campus
760375168815071264,856938435424419852,in debt
760375168815071264,835994497942683738,moderna
760375168815071264,835994435656351804,pfizer
760375168815071264,836119252637450281,Johnson & Johnson
760375168815071264,857321805828063273,in pain
760375168815071264,858190989831307295,pudding
760375168815071264,836119252637450281,Johnson & Johnson
760375168815071264,835994497942683738,moderna
760375168815071264,858190989831307295,pudding
336982018376335361,495656395513921566,Xe/Xem/Xyr
336982018376335361,494727625621766145,She/her/hers
336982018376335361,494002387649036288,He/him/his
336982018376335361,496162647172186113,They/them/theirs
760375168815071264,854237594648707073,Summer Session
826946831958933554,860587695058583572,new
